,Unnamed: 0,picker_host,wms_sku_id,sku_name,sku_weight_g,sku_dimensions_mm,task_success,pick_success,place_success,task_total,pick_total,place_total,p
2567,2567,ropi02,945009,Druid Vegetariánská brokolicová pomazánka bez lepku,104.0,"[28, 83, 83]",22,22.0,22.0,24,22,22,1.0
2569,2569,ropi02,945150,Mixit Malé křupavé ovoce,150.0,"[130, 100, 100]",31,31.0,31.0,34,31,31,1.0
2585,2585,ropi02,946968,Kotányi Šalvěj krájená,10.0,"[140, 104, 10]",29,29.0,29.0,31,29,29,1.0
2601,2601,ropi02,949827,Country Life BIO Třtinová šťáva sušená,253.0,"[145, 100, 50]",29,29.0,29.0,29,29,29,1.0
2610,2610,ropi02,959166,Labeta Chléb kmínový,560.0,"[200, 150, 45]",29,29.0,29.0,29,29,29,1.0
2611,2611,ropi02,959259,Nutrifree světlý chléb bez lepku,158.0,"[130, 150, 40]",30,29.0,29.0,30,30,29,0.9666666666666667
2619,2619,ropi02,961185,Druid Vegetariánská pomazánka s hlívou ústřičnou bez lepku,106.0,"[28, 83, 83]",39,36.0,36.0,46,39,36,0.9230769230769231
2620,2620,ropi02,961221,NOMINAL BIO Nomina Cereální kaše pohanková,346.0,"[190, 145, 45]",27,27.0,27.0,27,27,27,1.0
2621,2621,ropi02,961506,Extrudo Crispins BIO protein křehký plátek,140.0,"[145, 125, 48]",73,73.0,73.0,73,73,73,1.0
2622,2622,ropi02,961515,Extrudo Crispins BIO cizrnový křehký plátek,136.0,"[145, 125, 48]",40,40.0,40.0,40,40,40,1.0
2638,2638,ropi02,963816,Adveni Tapiokový škrob bez lepku,257.0,"[200, 160, 30]",53,53.0,53.0,53,53,53,1.0
2639,2639,ropi02,963822,Adveni Ovesná mouka bez lepku,257.0,"[200, 160, 30]",36,36.0,36.0,36,36,36,1.0
2653,2653,ropi02,965934,Flipz Preclíky se slaným karamelem,94.0,"[180, 120, 47]",37,36.0,36.0,37,37,36,0.972972972972973
2656,2656,ropi02,967119,Kotányi Salát francouzský,20.0,"[135, 90, 5]",10,10.0,10.0,14,10,10,1.0
